id,user_id,protocol,start_timestep,last_timestep,total_time,wifi_duration,privacy_score
pedestrian_2-1_4909_W_K7JHM,pedestrian_2-1_4909,WiFi,23201.0,23363.0,163.0,6327.0,0.02576260470997313
pedestrian_2-1_4930_W_CZYZ2,pedestrian_2-1_4930,WiFi,20204.0,20477.0,274.0,6676.0,0.041042540443379266
pedestrian_2-1_499_W_IYC7L,pedestrian_2-1_499,WiFi,24360.0,24558.0,199.0,5415.0,0.03674976915974146
pedestrian_2-1_5001_W_7NNEO,pedestrian_2-1_5001,WiFi,21295.0,21578.0,284.0,6915.0,0.04107013738250181
pedestrian_2-1_5067_W_BPMBI,pedestrian_2-1_5067,WiFi,19942.0,20084.0,143.0,5421.0,0.026378896882494004
pedestrian_2-1_5419_W_QTEZW,pedestrian_2-1_5419,WiFi,20079.0,20267.0,189.0,6991.0,0.02703475897582606
pedestrian_2-1_5435_W_L2S2F,pedestrian_2-1_5435,WiFi,24102.0,24387.0,286.0,7013.0,0.04078140596035933
pedestrian_2-1_5450_W_BSABG,pedestrian_2-1_5450,WiFi,20008.0,20202.0,195.0,5987.0,0.03257056956739603
pedestrian_2-1_5552_W_D1NCZ,pedestrian_2-1_5552,WiFi,21007.0,21262.0,256.0,5798.0,0.04415315626077958
pedestrian_2-1_5799_W_JM1W9,pedestrian_2-1_5799,WiFi,23195.0,23595.0,401.0,6017.0,0.06664450722951637
pedestrian_2-1_5841_W_SVSG4,pedestrian_2-1_5841,WiFi,21750.0,21920.0,171.0,6190.0,0.027625201938610663
pedestrian_2-1_600_W_HP7UZ,pedestrian_2-1_600,WiFi,23318.0,23484.0,167.0,5583.0,0.029912233566183055
pedestrian_2-1_6021_W_D78Q7,pedestrian_2-1_6021,WiFi,24783.0,25200.0,418.0,7046.0,0.059324439398240135
pedestrian_2-1_6130_W_YL3PI,pedestrian_2-1_6130,WiFi,22061.0,22226.0,166.0,6616.0,0.0250906892382104
pedestrian_2-1_6236_W_XTFPY,pedestrian_2-1_6236,WiFi,24115.0,24391.0,277.0,6636.0,0.041742013261000604
pedestrian_2-1_6256_W_CL34T,pedestrian_2-1_6256,WiFi,22448.0,22691.0,244.0,6665.0,0.03660915228807202
pedestrian_2-1_6274_W_SL5X2,pedestrian_2-1_6274,WiFi,24644.0,24822.0,179.0,6666.0,0.02685268526852685
pedestrian_2-1_63_W_OPK8Z,pedestrian_2-1_63,WiFi,22316.0,22469.0,154.0,7014.0,0.021956087824351298
pedestrian_2-1_804_W_PET4I,pedestrian_2-1_804,WiFi,24483.0,24770.0,288.0,5915.0,0.048689771766694846
pedestrian_2-1_842_W_WFKC5,pedestrian_2-1_842,WiFi,21750.0,22045.0,296.0,5914.0,0.050050727088265135
