id1,id2,start_timestep,last_timestep,duration,user_id,ideal_duration,protocol_id1,protocol_id2,privacy_score
GJGJ54SCHLXP,IN29P3P2AE2X,18001.25,18193.5,192.25,pedestrian_1-2_1990,196.5,wifi,lte,0.9783715012722646
PLER7W33613Y,7S7VXI6QPAWH,18001.25,18358.5,357.25,pedestrian_1-1-pt_7251,1181.75,wifi,lte,0.3023059022635921
TKJS90SEYF1R,GLVDUMS5NPM6,18001.25,18159.25,158.0,pedestrian_1-3_2374,165.75,lte,wifi,0.9532428355957768
HK2I9BRODF4N,C28ZQ3WSBD8V,18003.25,18052.5,49.25,pedestrian_1-3_2410,49.25,lte,wifi,1.0
IL0TOSIZATEO,GN60IZZHIYTO,18003.25,18652.25,649.0,pedestrian_1-1-pt_8637,660.0,wifi,lte,0.9833333333333333
ZURHIZ5IPCI8,R69UJBJY5O0T,18004.25,18246.75,242.5,pedestrian_1-1-veh_105,250.25,wifi,lte,0.9690309690309691
6UPMGCJC0Q4N,8MU0U68RWA1O,18006.25,18325.0,318.75,pedestrian_1-2_3838,327.25,lte,wifi,0.974025974025974
ZDTCCJYPAD5E,S3BDRXV0BMWL,18008.25,18227.75,219.5,pedestrian_1-1-veh_886,224.25,wifi,lte,0.9788182831661093
IOPYL30H38RJ,77FGUYBO7J8M,18008.25,18116.25,108.0,pedestrian_1-3_4838,113.5,wifi,lte,0.9515418502202643
O0UCADZHEO8I,QD861X3P8BAJ,18009.25,18185.25,176.0,pedestrian_1-1-pt_8795,188.25,wifi,lte,0.9349269588313412
PUZHCDHOL0T7,9W368RTXZMIS,18010.25,18209.25,199.0,pedestrian_1-3_2221,199.5,lte,wifi,0.9974937343358395
ZCFWUA30NN6P,1RXMBGSYLIQG,18010.25,18127.0,116.75,pedestrian_1-3_3320,123.0,wifi,lte,0.9491869918699187
5C5NHSBFZVPF,RUIG7Q99KHNK,18011.25,18168.5,157.25,pedestrian_1-2_5770,159.75,lte,wifi,0.9843505477308294
ZCUGJ5PPXB8Y,0MGTRIS86ZNL,18013.25,18374.5,361.25,pedestrian_1-1-pt_8143,709.25,lte,wifi,0.5093408530137469
2LEM2BUR20FX,5KQ913700IL2,18014.25,18408.0,393.75,pedestrian_1-1-pt_2382,1361.0,wifi,lte,0.28930933137398973
VO4H0OWQUWTS,MFP7RPYM6EOU,18016.25,18448.75,432.5,pedestrian_1-1-pt_6269,1029.25,wifi,lte,0.4202088899684236
PAJKBO4Z2TSU,OWCZX3MYAAHC,18020.25,18155.75,135.5,pedestrian_1-1-pt_8365,566.5,wifi,lte,0.23918799646954986
JB6DT1B0L8T2,V2OY1LPY3UOM,18022.25,18101.25,79.0,pedestrian_1-3_5363,85.75,lte,wifi,0.9212827988338192
QTQCZPK6ACPM,7MSPB4P3IZRB,18023.25,18322.0,298.75,pedestrian_2-1_3545,707.0,wifi,lte,0.4225601131541726
2J6TJCVHIOW3,DB4HW1V9NHT5,18027.25,18186.25,159.0,pedestrian_1-3_537,160.5,wifi,lte,0.9906542056074766
S6SVAND3JOMW,ECMGHSA2NVB9,18029.25,18412.5,383.25,pedestrian_1-1-pt_1773,576.0,lte,wifi,0.6653645833333334
GSZDF42GV74H,G4G475PNF8RH,18029.25,18165.75,136.5,pedestrian_1-1-pt_8810,1370.75,lte,wifi,0.09958052161225607
X212F7T6EFTN,3QTN7UDWBEK9,18030.25,18448.25,418.0,pedestrian_1-1-pt_3251,421.0,lte,wifi,0.9928741092636579
MFQSNU5Z6R5S,10OQ35R5CC3E,18031.25,18212.75,181.5,pedestrian_1-1-pt_7054,187.75,wifi,lte,0.966711051930759
G71UU4IJNVX2,4RS74NCBSIE7,18031.25,18216.5,185.25,pedestrian_2-1_3320,193.5,wifi,lte,0.9573643410852714
EEDOMJ1TQUUC,GYX33A8HBXCK,18031.25,18112.75,81.5,pedestrian_1-3_2018,81.75,lte,wifi,0.9969418960244648
2Z0SY6TF0AFA,SDR5S0U1LYMW,18032.25,18696.75,664.5,pedestrian_1-1-pt_3431,1367.75,wifi,lte,0.48583439956132335
J4YGPQ90FAWX,04ZGFDC1QXOC,18032.25,18095.5,63.25,pedestrian_1-1-veh_546,71.75,wifi,lte,0.8815331010452961
05LD9NV7P2RN,RC90XJ5JL61V,18036.25,18172.75,136.5,pedestrian_1-2_609,136.75,lte,wifi,0.9981718464351006
YSGGL0MWNGF9,8889U6CTX14P,18038.25,18098.5,60.25,pedestrian_1-1-pt_5078,189.0,wifi,lte,0.3187830687830688
2SF7QJRND2YJ,4AKXINNEVQ2L,18041.25,18065.0,23.75,pedestrian_1-2_4734,23.75,wifi,lte,1.0
FZX5EBBP4PHO,H12NXMSNQJ9G,18041.25,18161.0,119.75,pedestrian_1-2_285,122.0,wifi,lte,0.9815573770491803
NQ6G0GISD0Y7,O1R8DKST0UKU,18045.25,18109.0,63.75,pedestrian_1-1-pt_8289,66.5,wifi,lte,0.9586466165413534
QRVPZE924GO2,L8IHR7ET6VCS,18046.25,18207.75,161.5,pedestrian_1-1-pt_6561,170.25,wifi,lte,0.9486049926578561
YDU7VRXP0TE3,ZPB1MUNHYFQM,18048.25,18220.75,172.5,pedestrian_1-3_1790,177.25,wifi,lte,0.9732016925246827
M58HJY05EAN2,XC1VCVXLEH8F,18049.25,18467.5,418.25,pedestrian_1-1-pt_1673,418.75,wifi,lte,0.9988059701492538
14ETQQCDVM2Q,YOMPUZ1VEDGW,18052.25,18316.5,264.25,pedestrian_1-2_638,266.75,wifi,lte,0.9906279287722587
JFNZS4WYI5TI,WHOQR4208R8Q,18052.25,18322.75,270.5,pedestrian_1-2_3940,279.25,lte,wifi,0.9686660698299016
7N8FQKNAH8FQ,HG89YIXBSSF9,18053.25,18166.0,112.75,pedestrian_2-1_1662,118.0,wifi,lte,0.9555084745762712
5W17BOUPCRFE,YUD9J9X3EGZH,18054.25,18676.0,621.75,pedestrian_1-1-pt_2498,1345.75,wifi,lte,0.46201003158090287
I7PYL8UYMGU0,BS7SFQ3FB83B,18056.25,18115.75,59.5,pedestrian_1-3_2454,73.25,wifi,lte,0.8122866894197952
63NEPBZ2Z9OV,SYPE55FF9YJQ,18058.25,18067.5,9.25,pedestrian_1-2_3821,9.25,lte,wifi,1.0
SB7KPHMJ4J37,63YCHL2EXUTJ,18060.25,18238.0,177.75,pedestrian_1-3_268,189.25,lte,wifi,0.9392338177014531
UJ0ZGZFNFOG4,KLD0BJIC4YK9,18061.25,18203.25,142.0,pedestrian_1-2_5791,146.5,lte,wifi,0.9692832764505119
NXYWF4SI6D7N,KCFRZUK1F72R,18064.25,18418.25,354.0,pedestrian_1-2_1741,360.0,wifi,lte,0.9833333333333333
8NKNT5PZ8WGF,3VAGBBQRMSS0,18064.25,18134.0,69.75,pedestrian_1-2_2171,220.0,lte,wifi,0.3170454545454545
QTS0MFALNCZQ,RWSFB9N2EGWF,18065.25,18684.75,619.5,pedestrian_1-1-pt_4187,707.75,lte,wifi,0.8753090780642883
7PP8VVVVUM4Y,0C9ID4ZFCGR5,18066.25,18328.5,262.25,pedestrian_1-3_90,323.5,lte,wifi,0.8106646058732612
Z3M8HU45TARS,EU95BPHY94HE,18069.25,18315.75,246.5,pedestrian_1-2_4454,247.75,wifi,lte,0.9949545913218971
0IUVDKALXIJA,QYB1RGGIX0MC,18069.25,18522.5,453.25,pedestrian_1-1-pt_2201,458.5,wifi,lte,0.9885496183206107
M9OALWPSTUS0,FE9SUMHQAB61,18070.25,18371.0,300.75,pedestrian_1-1-veh_790,375.75,wifi,lte,0.8003992015968064
TISI89YVL74D,1RF647LDUQRQ,18072.25,18234.0,161.75,pedestrian_2-1_4638,364.5,lte,wifi,0.443758573388203
EE9LC1SIOCDO,YM66U8XIXKFX,18073.25,18695.25,622.0,pedestrian_1-1-pt_4658,642.0,lte,wifi,0.9688473520249221
7CIW6QSPGHB4,MQ2JUN2LXMFY,18073.25,18255.5,182.25,pedestrian_1-1-veh_668,186.25,lte,wifi,0.978523489932886
DLZP1H2WZATP,JXJXOH9TWW5G,18073.25,18348.25,275.0,pedestrian_1-1-pt_2770,277.75,lte,wifi,0.9900990099009901
5QIEG117JETS,1YDS86IRAJ1G,18075.25,18698.75,623.5,pedestrian_1-1-pt_5139,956.5,lte,wifi,0.6518557239937272
IQEZVVC4T6L1,YQIBPT5SEIMC,18076.25,18621.75,545.5,pedestrian_1-1-pt_4472,1083.0,lte,wifi,0.5036934441366574
